Id,LotFrontage,LotArea,BldgType,OverallQual,YearBuilt,YearRemodAdd,Foundation,TotalBsmtSF,Heating,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageYrBlt,GarageCars,GarageArea,GarageQual,MiscFeature,MoSold,YrSold,SalePrice
33,85,11049,1Fam,8,2007,2007,PConc,1234,GasA,Ex,Y,1234,0,1234,2,0,3,1,Gd,7,0,NA,2007,2,484,TA,NA,1,2008,179900
34,70,10552,1Fam,5,1959,1959,CBlock,1398,GasA,Gd,Y,1700,0,1700,1,1,4,1,Gd,6,1,Gd,1959,2,447,TA,NA,4,2010,165500
35,60,7313,TwnhsE,9,2005,2005,PConc,1561,GasA,Ex,Y,1561,0,1561,2,0,2,1,Ex,6,1,Gd,2005,2,556,TA,NA,8,2007,277500
36,108,13418,1Fam,8,2004,2005,PConc,1117,GasA,Ex,Y,1132,1320,2452,3,1,4,1,Gd,9,1,Gd,2004,3,691,TA,NA,9,2006,309000
37,112,10859,1Fam,5,1994,1995,PConc,1097,GasA,Ex,Y,1097,0,1097,1,1,3,1,TA,6,0,NA,1995,2,672,TA,NA,6,2009,145000
38,74,8532,1Fam,5,1954,1990,CBlock,1297,GasA,Gd,Y,1297,0,1297,1,0,3,1,TA,5,1,TA,1954,2,498,TA,NA,10,2009,153000
39,68,7922,1Fam,5,1953,2007,CBlock,1057,GasA,TA,Y,1057,0,1057,1,0,3,1,Gd,5,0,NA,1953,1,246,TA,NA,1,2010,109000
40,65,6040,Duplex,4,1955,1955,PConc,0,GasA,TA,N,1152,0,1152,2,0,2,2,Fa,6,0,NA,NA,0,0,NA,NA,6,2008,82000
41,84,8658,1Fam,6,1965,1965,CBlock,1088,GasA,Ex,Y,1324,0,1324,2,0,3,1,TA,6,1,TA,1965,2,440,TA,NA,12,2006,160000
42,115,16905,1Fam,5,1959,1959,CBlock,1350,GasA,Gd,Y,1328,0,1328,1,1,2,1,TA,5,2,Gd,1959,1,308,TA,NA,7,2007,170000
43,NA,9180,1Fam,5,1983,1983,CBlock,840,GasA,Gd,Y,884,0,884,1,0,2,1,Gd,5,0,NA,1983,2,504,TA,NA,12,2007,144000
44,NA,9200,1Fam,5,1975,1980,CBlock,938,GasA,TA,Y,938,0,938,1,0,3,1,TA,5,0,NA,1977,1,308,TA,NA,7,2008,130250
45,70,7945,1Fam,5,1959,1959,CBlock,1150,GasA,Ex,Y,1150,0,1150,1,0,3,1,TA,6,0,NA,1959,1,300,TA,NA,5,2006,141000
46,61,7658,TwnhsE,9,2005,2005,PConc,1752,GasA,Ex,Y,1752,0,1752,2,0,2,1,Ex,6,1,Gd,2005,2,576,TA,NA,2,2010,319900
47,48,12822,1Fam,7,2003,2003,PConc,1434,GasA,Ex,Y,1518,631,2149,1,1,1,1,Gd,6,1,Ex,2003,2,670,TA,NA,8,2009,239686
48,84,11096,1Fam,8,2006,2006,PConc,1656,GasA,Ex,Y,1656,0,1656,2,0,3,1,Gd,7,0,NA,2006,3,826,TA,NA,7,2007,249700
49,33,4456,2fmCon,4,1920,2008,BrkTil,736,GasA,Gd,Y,736,716,1452,2,0,2,3,TA,8,0,NA,NA,0,0,NA,NA,6,2009,113000
50,66,7742,1Fam,5,1966,1966,CBlock,955,GasA,Ex,Y,955,0,955,1,0,3,1,TA,6,0,NA,1966,1,386,TA,NA,1,2007,127000
51,NA,13869,1Fam,6,1997,1997,PConc,794,GasA,Gd,Y,794,676,1470,2,0,3,1,TA,6,0,NA,1997,2,388,TA,NA,7,2007,177000
52,52,6240,1Fam,6,1934,1950,PConc,816,GasA,TA,Y,816,0,1176,1,0,3,1,TA,6,1,Gd,1985,2,528,TA,Shed,9,2006,114500
53,110,8472,Duplex,5,1963,1963,CBlock,816,GasA,TA,N,816,0,816,1,0,2,1,TA,5,0,NA,1963,2,516,TA,NA,5,2010,110000
54,68,50271,1Fam,9,1981,1987,CBlock,1842,GasA,Gd,Y,1842,0,1842,0,1,0,1,Gd,5,1,Gd,1981,3,894,TA,NA,11,2006,385000
55,60,7134,1Fam,5,1955,1955,CBlock,384,GasA,TA,Y,1360,0,1360,1,0,3,1,TA,6,1,TA,1962,2,572,TA,NA,2,2007,130000
56,100,10175,1Fam,6,1964,1964,CBlock,1425,GasA,Gd,Y,1425,0,1425,2,0,3,1,TA,7,1,Gd,1964,2,576,TA,NA,7,2008,180500
57,24,2645,Twnhs,8,1999,2000,PConc,970,GasA,Ex,Y,983,756,1739,2,1,3,1,Gd,7,0,NA,1999,2,480,TA,NA,8,2009,172500
58,89,11645,1Fam,7,2004,2004,PConc,860,GasA,Ex,Y,860,860,1720,2,1,3,1,Gd,7,0,NA,2004,2,565,TA,NA,8,2006,196500
59,66,13682,1Fam,10,2006,2006,PConc,1410,GasA,Ex,Y,1426,1519,2945,3,1,3,1,Gd,10,1,Gd,2006,3,641,TA,NA,10,2006,438780
60,60,7200,1Fam,5,1972,1972,CBlock,780,GasA,Ex,Y,780,0,780,1,0,2,1,TA,4,0,NA,1973,1,352,TA,NA,1,2008,124900
61,63,13072,1Fam,6,2004,2004,PConc,1158,GasA,Ex,Y,1158,0,1158,1,1,3,1,Gd,5,0,NA,2006,2,576,TA,NA,5,2006,158000
62,60,7200,1Fam,5,1920,1996,BrkTil,530,GasA,TA,N,581,530,1111,1,0,3,1,Fa,6,0,NA,1935,1,288,TA,NA,3,2007,101000
63,44,6442,TwnhsE,8,2006,2006,PConc,1370,GasA,Ex,Y,1370,0,1370,2,0,2,1,Gd,6,1,Gd,2006,2,484,TA,NA,10,2007,202500
64,50,10300,1Fam,7,1921,1950,BrkTil,576,GasA,Gd,Y,902,808,1710,2,0,3,1,TA,9,0,NA,1990,2,480,TA,NA,4,2010,140000
65,NA,9375,1Fam,7,1997,1998,PConc,1057,GasA,Ex,Y,1057,977,2034,2,1,3,1,Gd,8,0,NA,1998,2,645,TA,NA,2,2009,219500
66,76,9591,1Fam,8,2004,2005,PConc,1143,GasA,Ex,Y,1143,1330,2473,2,1,4,1,Gd,9,1,Gd,2004,3,852,TA,NA,10,2007,317000
67,NA,19900,1Fam,7,1970,1989,CBlock,1947,GasA,TA,Y,2207,0,2207,2,0,3,1,TA,7,1,Gd,1970,2,576,TA,NA,7,2010,180000
68,72,10665,1Fam,7,2003,2003,PConc,1453,GasA,Ex,Y,1479,0,1479,2,0,3,1,Gd,7,0,NA,2003,2,558,TA,NA,6,2007,226000
69,47,4608,1Fam,4,1945,1950,CBlock,747,GasA,TA,Y,747,0,747,1,0,2,1,TA,4,0,NA,1945,1,220,TA,NA,6,2010,80000
70,81,15593,1Fam,7,1953,1953,CBlock,1304,GasW,TA,Y,1304,983,2287,2,0,3,1,TA,7,1,TA,1953,2,667,TA,NA,7,2006,225000
71,95,13651,1Fam,7,1973,1973,CBlock,2223,GasA,Ex,Y,2223,0,2223,2,0,3,1,TA,8,2,Gd,1973,2,516,TA,NA,2,2007,244000
72,69,7599,1Fam,4,1982,2006,CBlock,845,GasA,TA,Y,845,0,845,1,0,2,1,TA,4,0,NA,1987,2,360,TA,NA,6,2007,129500
73,74,10141,1Fam,7,1998,1998,PConc,832,GasA,Gd,Y,885,833,1718,2,1,3,1,TA,7,1,TA,1998,2,427,TA,NA,12,2009,185000
74,85,10200,1Fam,5,1954,2003,CBlock,1086,GasA,Gd,Y,1086,0,1086,1,0,3,1,TA,6,0,NA,1989,2,490,TA,NA,5,2010,144900
75,60,5790,1Fam,3,1915,1950,CBlock,840,GasA,Gd,N,840,765,1605,2,0,3,2,TA,8,0,NA,1915,1,379,TA,NA,5,2010,107400
76,21,1596,Twnhs,4,1973,1973,CBlock,462,GasA,TA,Y,526,462,988,1,0,2,1,TA,5,0,NA,1973,1,297,TA,NA,11,2009,91000
77,NA,8475,1Fam,4,1956,1956,CBlock,952,GasA,Ex,Y,952,0,952,1,0,2,1,TA,4,0,NA,1956,1,283,TA,NA,4,2008,135750
78,50,8635,1Fam,5,1948,2001,CBlock,672,GasA,TA,Y,1072,213,1285,1,0,2,1,TA,6,0,NA,1948,1,240,TA,NA,1,2008,127000
79,72,10778,Duplex,4,1968,1968,CBlock,1768,GasA,TA,N,1768,0,1768,2,0,4,2,TA,8,0,NA,NA,0,0,NA,NA,4,2010,136500
80,60,10440,1Fam,5,1910,1981,PConc,440,GasA,Gd,Y,682,548,1230,1,1,2,1,TA,5,0,NA,1966,2,440,TA,NA,5,2009,110000
81,100,13000,1Fam,6,1968,1968,CBlock,896,GasA,TA,Y,1182,960,2142,2,1,4,1,Gd,8,1,Gd,1968,1,509,TA,NA,6,2009,193500
82,32,4500,TwnhsE,6,1998,1998,PConc,1237,GasA,Ex,Y,1337,0,1337,2,0,2,1,TA,5,0,NA,1998,2,405,TA,NA,3,2006,153500
83,78,10206,1Fam,8,2007,2007,PConc,1563,GasA,Ex,Y,1563,0,1563,2,0,3,1,Gd,6,1,Gd,2007,3,758,TA,NA,10,2008,245000
84,80,8892,1Fam,5,1960,1960,CBlock,1065,GasA,Gd,Y,1065,0,1065,1,1,3,1,TA,6,0,NA,1974,2,461,TA,NA,7,2007,126500
85,NA,8530,1Fam,7,1995,1996,PConc,384,GasA,Gd,Y,804,670,1474,2,1,3,1,TA,7,1,TA,1995,2,400,TA,Shed,5,2009,168500
86,121,16059,1Fam,8,1991,1992,CBlock,1288,GasA,Ex,Y,1301,1116,2417,2,1,4,1,Gd,9,1,TA,1991,2,462,TA,NA,4,2006,260000
87,122,11911,1Fam,6,2005,2005,PConc,684,GasA,Ex,Y,684,876,1560,2,1,3,1,Gd,6,1,Gd,2005,2,400,TA,NA,3,2009,174000
88,40,3951,TwnhsE,6,2009,2009,PConc,612,GasA,Ex,Y,612,612,1224,2,1,2,1,Gd,4,0,NA,2009,2,528,TA,NA,6,2009,164500
89,105,8470,1Fam,3,1915,1982,CBlock,1013,GasA,TA,N,1013,0,1526,1,0,2,1,Fa,6,0,NA,NA,0,0,NA,NA,10,2009,85000
90,60,8070,1Fam,4,1994,1995,PConc,990,GasA,Ex,Y,990,0,990,1,0,3,1,TA,5,0,NA,NA,0,0,NA,NA,8,2007,123600
91,60,7200,1Fam,4,1950,1950,Slab,0,GasA,TA,Y,1040,0,1040,1,0,2,1,TA,4,0,NA,1950,2,420,TA,NA,7,2006,109900
92,85,8500,1Fam,5,1961,1961,CBlock,1235,GasA,TA,Y,1235,0,1235,1,0,2,1,TA,6,0,NA,1961,2,480,TA,NA,12,2006,98600
93,80,13360,1Fam,5,1921,2006,BrkTil,876,GasA,Ex,Y,964,0,964,1,0,2,1,TA,5,0,NA,1921,2,432,TA,NA,8,2009,163500
94,60,7200,2fmCon,6,1910,1998,BrkTil,1214,GasW,Ex,N,1260,1031,2291,2,0,4,2,TA,9,1,Gd,1900,2,506,TA,NA,11,2007,133900
95,69,9337,1Fam,6,1997,1997,PConc,824,GasA,Ex,Y,905,881,1786,2,1,3,1,Gd,7,0,NA,1997,2,684,TA,NA,5,2007,204750
96,NA,9765,1Fam,6,1993,1993,PConc,680,GasA,Gd,Y,680,790,1470,2,1,3,1,TA,6,1,TA,1993,2,420,TA,Shed,4,2009,185000
97,78,10264,1Fam,7,1999,1999,PConc,1588,GasA,Ex,Y,1588,0,1588,2,0,3,1,Gd,6,0,NA,1999,2,472,TA,NA,8,2006,214000
98,73,10921,1Fam,4,1965,1965,CBlock,960,GasA,TA,Y,960,0,960,1,0,3,1,TA,6,0,NA,1965,1,432,TA,NA,5,2007,94750
99,85,10625,1Fam,5,1920,1950,BrkTil,458,GasA,Fa,N,835,0,835,1,0,2,1,TA,5,0,NA,1920,1,366,Fa,Shed,5,2010,83000
100,77,9320,1Fam,4,1959,1959,CBlock,950,GasA,Fa,Y,1225,0,1225,1,1,3,1,TA,6,0,NA,NA,0,0,NA,Shed,1,2010,128950
101,NA,10603,1Fam,6,1977,2001,PConc,1610,GasA,Gd,Y,1610,0,1610,2,0,3,1,Gd,6,2,TA,1977,2,480,TA,NA,2,2010,205000
102,77,9206,1Fam,6,1985,1985,CBlock,741,GasA,TA,Y,977,755,1732,2,1,3,1,Gd,7,1,TA,1985,2,476,TA,NA,6,2010,178000
103,64,7018,Duplex,5,1979,1979,Slab,0,GasA,TA,Y,1535,0,1535,2,0,4,2,TA,8,0,NA,1979,2,410,TA,NA,6,2009,118964
104,94,10402,1Fam,7,2009,2009,PConc,1226,GasA,Ex,Y,1226,0,1226,2,0,3,1,Gd,6,0,NA,2009,3,740,TA,NA,5,2010,198900
105,NA,7758,1Fam,7,1931,1950,PConc,1040,GasA,Ex,Y,1226,592,1818,1,1,4,1,TA,7,2,TA,1951,1,240,TA,NA,6,2007,169500
106,75,9375,1Fam,8,2003,2004,PConc,1053,GasA,Ex,Y,1053,939,1992,2,1,3,1,Gd,9,1,Gd,2003,2,648,TA,NA,8,2008,250000
107,60,10800,1Fam,4,1885,1995,BrkTil,641,GasA,Gd,Y,1047,0,1047,1,0,2,1,TA,6,0,NA,1954,1,273,Fa,Shed,8,2007,100000
108,50,6000,1Fam,5,1948,1950,CBlock,789,GasA,Ex,Y,789,0,789,1,0,2,1,TA,5,0,NA,1948,1,250,TA,NA,4,2008,115000
109,85,8500,1Fam,5,1919,2005,CBlock,793,GasW,TA,N,997,520,1517,2,0,3,1,Fa,7,0,NA,NA,0,0,NA,NA,8,2007,115000
110,105,11751,1Fam,6,1977,1977,CBlock,1844,GasA,Ex,Y,1844,0,1844,2,0,3,1,TA,7,1,TA,1977,2,546,TA,NA,1,2010,190000
111,75,9525,1Fam,6,1954,1972,CBlock,994,GasA,Gd,Y,1216,639,1855,2,0,4,1,TA,7,0,NA,1954,1,325,TA,NA,10,2006,136900
112,NA,7750,1Fam,7,2000,2000,PConc,384,GasA,Ex,Y,774,656,1430,2,1,3,1,TA,7,1,TA,2000,2,400,TA,NA,4,2010,180000
113,77,9965,1Fam,7,2007,2007,PConc,1264,GasA,Ex,Y,1282,1414,2696,2,1,4,1,Ex,10,1,Gd,2007,3,792,TA,NA,10,2007,383970
114,NA,21000,1Fam,6,1953,1953,CBlock,1809,GasA,TA,Y,2259,0,2259,2,0,3,1,Gd,7,2,Gd,1953,2,450,TA,NA,10,2007,217000
115,61,7259,1Fam,6,1945,2002,CBlock,1028,GasA,Ex,Y,1436,884,2320,2,1,3,1,Gd,9,1,TA,1945,1,180,TA,NA,7,2007,259500
116,34,3230,TwnhsE,6,1999,1999,PConc,729,GasA,Gd,Y,729,729,1458,2,1,2,1,TA,5,1,Fa,1999,2,440,TA,NA,6,2007,176000
117,NA,11616,1Fam,5,1962,1962,CBlock,1092,GasA,TA,Y,1092,0,1092,1,0,3,1,TA,6,1,Po,1962,1,288,TA,NA,9,2009,139000
118,74,8536,1Fam,5,2006,2007,PConc,1125,GasA,Gd,Y,1125,0,1125,1,1,2,1,TA,5,0,NA,2007,2,430,TA,NA,4,2007,155000
119,90,12376,1Fam,7,1990,1990,PConc,1673,GasA,Gd,Y,1699,1523,3222,3,0,5,1,Gd,11,2,TA,1990,3,594,TA,NA,5,2010,320000
120,65,8461,1Fam,6,2005,2006,PConc,728,GasA,Ex,Y,728,728,1456,2,1,3,1,Gd,8,1,Gd,2005,2,390,TA,NA,7,2006,163990
121,NA,21453,1Fam,6,1969,1969,CBlock,938,GasA,Ex,Y,988,0,988,1,0,1,1,TA,4,2,TA,1969,2,540,TA,NA,10,2006,180000
122,50,6060,1Fam,4,1939,1950,PConc,732,GasA,Gd,Y,772,351,1123,1,0,3,1,TA,4,0,NA,1979,1,264,TA,NA,6,2007,100000
123,75,9464,1Fam,6,1958,1958,CBlock,1080,GasA,Gd,Y,1080,0,1080,1,0,3,1,TA,5,0,NA,1958,1,288,TA,NA,6,2008,136000
124,55,7892,TwnhsE,6,1993,1993,PConc,1199,GasA,Ex,Y,1199,0,1199,2,0,2,1,Gd,5,0,NA,1993,2,530,TA,NA,3,2008,153900
125,48,17043,1Fam,6,1979,1998,CBlock,1362,GasA,TA,Y,1586,0,1586,2,0,3,1,TA,7,1,TA,1979,2,435,TA,NA,1,2009,181000
126,60,6780,2fmCon,6,1935,1982,CBlock,520,GasA,Gd,N,520,0,754,1,0,2,1,TA,5,0,NA,NA,0,0,NA,NA,6,2006,84500
127,NA,4928,TwnhsE,6,1976,1976,CBlock,1078,GasA,TA,Y,958,0,958,2,0,2,1,TA,5,1,TA,1977,2,440,TA,NA,2,2007,128000
128,55,4388,1Fam,5,1930,1950,BrkTil,672,GasA,Ex,Y,840,0,840,1,0,3,1,TA,5,1,TA,NA,0,0,NA,NA,6,2007,87000
129,69,7590,1Fam,6,1966,1966,CBlock,660,GasA,TA,Y,660,688,1348,1,1,3,1,TA,6,1,Fa,1966,2,453,TA,NA,7,2006,155000
130,69,8973,1Fam,5,1958,1991,CBlock,1008,GasA,TA,Y,1053,0,1053,1,1,3,1,Ex,6,0,NA,1998,2,750,TA,NA,7,2006,150000
131,88,14200,1Fam,7,1966,1966,CBlock,924,GasA,Ex,Y,1216,941,2157,2,1,4,1,Gd,8,2,Gd,1966,2,487,TA,NA,5,2006,226000
132,NA,12224,1Fam,6,2000,2000,PConc,992,GasA,Ex,Y,1022,1032,2054,2,1,3,1,Gd,7,1,TA,2000,2,390,TA,NA,7,2009,244000
133,75,7388,1Fam,5,1959,2002,CBlock,1063,GasA,Gd,Y,1327,0,1327,1,0,3,1,Gd,7,0,NA,1974,2,624,TA,NA,7,2007,150750
134,NA,6853,1Fam,8,2001,2002,PConc,1267,GasA,Ex,Y,1296,0,1296,2,0,2,1,Gd,6,0,NA,2001,2,471,TA,NA,6,2009,220000
135,78,10335,1Fam,5,1968,1993,CBlock,1461,GasA,Gd,Y,1721,0,1721,2,1,3,1,TA,7,1,TA,1968,2,440,TA,NA,7,2006,180000
136,80,10400,1Fam,7,1970,1970,PConc,1304,GasA,Gd,Y,1682,0,1682,2,0,3,1,TA,7,1,Gd,1970,2,530,TA,NA,5,2008,174000
137,NA,10355,1Fam,5,1967,1967,CBlock,1214,GasA,TA,Y,1214,0,1214,2,0,3,1,TA,5,1,Fa,1967,1,318,TA,NA,7,2007,143000
138,82,11070,Duplex,7,1988,1989,CBlock,1907,GasA,Gd,Y,1959,0,1959,3,0,5,2,TA,9,0,NA,1989,3,766,TA,NA,7,2006,171000
139,73,9066,1Fam,8,1999,2000,PConc,1004,GasA,Ex,Y,1004,848,1852,2,1,3,1,Gd,7,2,TA,1999,3,660,TA,NA,12,2008,230000
140,65,15426,1Fam,6,1997,1997,PConc,928,GasA,Ex,Y,928,836,1764,2,1,3,1,Gd,7,0,NA,1997,2,470,TA,NA,8,2009,231500
141,70,10500,1Fam,4,1971,1971,CBlock,864,GasA,TA,Y,864,0,864,1,0,3,1,TA,5,1,Po,NA,0,0,NA,NA,4,2010,115000
142,78,11645,1Fam,7,2005,2005,PConc,1734,GasA,Ex,Y,1734,0,1734,2,0,3,1,Gd,7,0,NA,2005,2,660,TA,NA,1,2006,260000
143,71,8520,1Fam,5,1952,1952,CBlock,910,GasA,Fa,Y,910,475,1385,2,0,4,1,TA,6,0,NA,2000,2,720,TA,NA,6,2010,166000
144,78,10335,1Fam,7,1999,1999,PConc,1490,GasA,Ex,Y,1501,0,1501,2,0,3,1,Gd,6,0,NA,1999,2,577,TA,NA,6,2009,204000
145,70,9100,Duplex,5,1963,1963,CBlock,1728,GasA,TA,Y,1728,0,1728,2,0,6,2,TA,10,0,NA,1963,2,504,TA,NA,11,2006,125000
146,24,2522,Twnhs,6,2004,2006,PConc,970,GasA,Ex,Y,970,739,1709,2,0,3,1,Gd,7,0,NA,2004,2,380,TA,NA,4,2006,130000
147,51,6120,1Fam,5,1931,1993,BrkTil,715,GasA,TA,Y,875,0,875,1,0,2,1,TA,5,0,NA,1931,1,180,Fa,NA,11,2009,105000
148,NA,9505,1Fam,7,2001,2001,PConc,884,GasA,Ex,Y,884,1151,2035,2,1,3,1,Gd,8,1,Gd,2001,2,434,TA,NA,5,2010,222500
149,63,7500,1Fam,7,2004,2005,PConc,1080,GasA,Ex,Y,1080,0,1080,1,0,3,1,Gd,6,0,NA,NA,0,0,NA,NA,4,2008,141000
150,NA,6240,1Fam,5,1936,1950,BrkTil,896,GasA,Gd,Y,896,448,1344,1,0,3,1,TA,7,0,NA,1936,1,240,Fa,NA,4,2006,115000
151,120,10356,1Fam,5,1975,1975,CBlock,969,GasA,TA,Y,969,0,969,1,1,3,1,TA,5,0,NA,1975,2,440,TA,NA,1,2007,122000
152,107,13891,1Fam,8,2007,2008,PConc,1710,GasA,Ex,Y,1710,0,1710,2,0,2,1,Gd,6,1,Gd,2007,3,866,TA,NA,1,2008,372402
153,NA,14803,1Fam,6,1971,1971,CBlock,825,GasA,Gd,Y,1097,896,1993,2,1,4,1,TA,8,1,Gd,1971,2,495,TA,NA,6,2006,190000
154,NA,13500,1Fam,6,1960,1975,CBlock,1602,GasA,Gd,Y,1252,0,1252,1,0,1,1,TA,4,1,Gd,1960,2,564,TA,NA,3,2008,235000
155,84,11340,1Fam,6,1923,1950,BrkTil,1200,GasA,TA,Y,1200,0,1200,1,0,4,1,TA,7,0,NA,1923,1,312,Fa,NA,3,2006,125000
156,60,9600,1Fam,6,1924,1950,BrkTil,572,Grav,Fa,N,572,524,1096,1,0,2,1,TA,5,0,NA,NA,0,0,NA,NA,4,2008,79000
157,60,7200,1Fam,5,1950,1950,CBlock,0,GasA,TA,Y,1040,0,1040,1,0,2,1,TA,5,0,NA,1950,2,625,TA,NA,6,2006,109500
158,92,12003,1Fam,8,2009,2010,PConc,774,GasA,Ex,Y,774,1194,1968,2,1,4,1,Ex,8,1,Gd,2009,3,680,TA,NA,5,2010,269500
